word,rank,cefr,pos,ipa,meaning_vi,example_en,is_concrete_noun,orig_rank,sfi,freq_per_million
have,1,A1,v,/hˈæv/,có; sở hữu,I have two younger brothers.,FALSE,8,81.53,14210
do,2,A1,v,/dˈu/,làm; thực hiện,Please do your homework now.,FALSE,21,78.33,6802
say,3,A1,v,/sˈeɪ/,nói; phát biểu,She said she was tired.,FALSE,30,75.35,3425
go,4,A1,v,/ɡˈoʊ/,đi; đến,We go to school every day.,FALSE,31,75.13,3260
one,5,A1,num,/wˈʌn/,"một; một cái, một người",Only one student passed the test.,FALSE,35,74.77,2997
know,6,A1,v,/nˈoʊ/,biết; quen biết,I know the answer to this question.,FALSE,41,74.21,2634
get,7,A1,v,/ɡˈɛt/,lấy; nhận được; trở nên,Did you get my message?,FALSE,43,74.1,2573
like,8,A1,v,/lˈaɪk/,thích; giống như,I like listening to music.,FALSE,45,73.92,2465
when,9,A1,adv,/wˈɛn/,khi; khi nào,When did you arrive home?,FALSE,46,73.86,2435
think,10,A1,v,/θˈɪŋk/,nghĩ; cho rằng,I think it will rain today.,FALSE,47,73.86,2433
make,11,A1,v,/mˈeɪk/,làm; tạo ra,He made a cake for her birthday.,FALSE,48,73.73,2359
time,12,A1,n,/tˈaɪm/,thời gian; lần,What time is it now?,FALSE,49,73.62,2302
see,13,A1,v,/sˈi/,nhìn thấy; hiểu,I can see the mountains from here.,FALSE,50,73.48,2226
good,14,A1,adj,/ɡˈʊd/,tốt; giỏi,This is a good idea.,FALSE,56,73.09,2038
people,15,A1,n,/pˈipəl/,"người, mọi người",Many people came to the concert.,FALSE,57,73.05,2019
year,16,A1,n,/jˈɪɹ/,năm,She is ten years old.,FALSE,58,72.9,1949
take,17,A1,v,/tˈeɪk/,lấy; cầm; mất (thời gian),Take an umbrella with you.,FALSE,59,72.73,1873
well,18,A1,adv,/wˈɛl/,"tốt, giỏi",She sings very well.,FALSE,61,72.64,1835
come,19,A1,v,/kˈʌm/,đến; tới,Come here and sit down.,FALSE,65,72.29,1694
work,20,A1,v,/wˈɝk/,làm việc; hoạt động,I work in a small office.,FALSE,67,72.24,1674
use,21,A1,v,/jˈus/,"dùng, sử dụng",I use a pen to write.,FALSE,68,72.19,1657
look,22,A1,v,/lˈʊk/,nhìn; trông có vẻ,Look at the beautiful sky.,FALSE,75,71.37,1370
want,23,A1,v,/wˈɑnt/,muốn,I want a cup of coffee.,FALSE,76,71.31,1354
give,24,A1,v,/ɡˈɪv/,"cho, đưa, tặng",Please give me your hand.,FALSE,77,71.24,1332
first,25,A1,adj,/fˈɝst/,"đầu tiên, thứ nhất",This is my first day at work.,FALSE,78,71.21,1321
new,26,A1,adj,/nˈu/,mới,I bought a new phone.,FALSE,79,71.1,1290
way,27,A1,n,/wˈeɪ/,cách; con đường,This is the best way to learn.,FALSE,80,71.07,1279
find,28,A1,v,/fˈaɪnd/,tìm thấy; nhận thấy,I can't find my keys.,FALSE,81,70.92,1236
after,29,A1,prep,/ˈæftɚ/,sau; sau khi,We went home after the movie.,FALSE,84,70.83,1210
day,30,A1,n,/dˈeɪ/,ngày; ban ngày,Today is a sunny day.,FALSE,85,70.75,1187
where,31,A1,adv,/wˈɛɹ/,ở đâu; nơi mà,Where do you live?,FALSE,86,70.75,1187
thing,32,A1,n,/θˈɪŋ/,"vật; điều, việc",Put your things on the table.,FALSE,87,70.65,1161
need,33,A1,v,/nˈid/,cần,I need some help with this.,FALSE,90,70.53,1129
right,34,A1,adj,/ɹˈaɪt/,đúng; bên phải; quyền,You are right about that.,FALSE,92,70.47,1113
how,35,A1,adv,/hˈaʊ/,như thế nào; bao nhiêu,How do you make this dish?,FALSE,93,70.39,1093
mean,36,A1,v,/mˈin/,có nghĩa là; định,What does this word mean?,FALSE,95,70.09,1021
last,37,A1,adj,/lˈæst/,cuối cùng; vừa qua,This is the last day of school.,FALSE,101,69.62,917
child,38,A1,n,/tʃˈaɪld/,đứa trẻ,The child is playing in the park.,FALSE,102,69.59,910
tell,39,A1,v,/tˈɛl/,"nói, kể; bảo",Tell me the truth.,FALSE,103,69.55,901
really,40,A1,adv,/ɹˈɪli/,thật sự; rất,I really enjoyed the trip.,FALSE,104,69.4,870
call,41,A1,v,/kˈɔl/,gọi; gọi điện,Please call me tonight.,FALSE,105,69.39,869
before,42,A1,prep,/bɪfˈɔɹ/,trước; trước khi,Wash your hands before dinner.,FALSE,106,69.29,849
company,43,A1,n,/kˈʌmpənˌi/,công ty,He works for a big company.,FALSE,107,69.25,842
show,44,A1,v,/ʃˈoʊ/,cho xem; chỉ ra,Let me show you the photos.,FALSE,110,69.18,827
life,45,A1,n,/lˈaɪf/,cuộc sống; đời sống,City life can be very busy.,FALSE,111,69.09,812
man,46,A1,n,/mˈæn/,người đàn ông,The man is reading a newspaper.,FALSE,112,69.07,807
change,47,A1,v,/tʃˈeɪndʒ/,thay đổi; đổi,We need to change our plan.,FALSE,113,69.02,799
place,48,A1,n,/plˈeɪs/,"nơi, chỗ",This is a nice place to relax.,FALSE,114,69,795
long,49,A1,adj,/lˈɔŋ/,dài; lâu,It was a long journey.,FALSE,115,68.98,791
feel,50,A1,v,/fˈil/,cảm thấy,I feel tired after work.,FALSE,117,68.92,780
problem,51,A1,n,/pɹˈɑbləm/,vấn đề; bài toán,We solved the problem together.,FALSE,120,68.65,733
write,52,A1,v,/ɹˈaɪt/,viết,She writes a letter to her friend.,FALSE,121,68.65,732
lot,53,A1,n,/lˈɑt/,nhiều (a lot),There is a lot of food here.,FALSE,123,68.54,715
great,54,A1,adj,/ɡɹˈeɪt/,tuyệt vời; to lớn,That's a great idea!,FALSE,124,68.51,710
try,55,A1,v,/tɹˈaɪ/,thử; cố gắng,Try to finish your work early.,FALSE,125,68.45,699
leave,56,A1,v,/lˈiv/,rời đi; để lại,I leave home at seven.,FALSE,126,68.44,699
number,57,A1,n,/nˈʌmbɚ/,số; con số,Write your phone number here.,FALSE,127,68.44,698
part,58,A1,n,/pˈɑɹt/,phần; bộ phận,This is the hardest part.,FALSE,130,68.4,692
point,59,A1,n,/pˈɔɪnt/,điểm; ý,That's a good point.,FALSE,131,68.35,684
little,60,A1,adj,/lˈɪtəl/,nhỏ; ít,There is a little water left.,FALSE,132,68.33,681
help,61,A1,v,/hˈɛlp/,giúp đỡ,Can you help me carry this?,FALSE,133,68.32,680
ask,62,A1,v,/ˈæsk/,hỏi; yêu cầu,She asked a difficult question.,FALSE,134,68.29,675
meet,63,A1,v,/mˈit/,gặp; gặp gỡ,Let's meet at the station.,FALSE,135,68.26,671
start,64,A1,v,/stˈɑɹt/,bắt đầu,The class starts at eight.,FALSE,136,68.26,669
talk,65,A1,v,/tˈɔk/,nói chuyện,We talked for hours.,FALSE,137,68.23,665
put,66,A1,v,/pˈʊt/,đặt; để,Put the book on the shelf.,FALSE,139,68.16,655
become,67,A1,v,/bɪkˈʌm/,trở thành; trở nên,She became a doctor.,FALSE,141,68.15,654
interest,68,A1,n,/ˈɪntɹəst/,sự quan tâm; lãi suất,He has an interest in music.,FALSE,142,68.15,653
country,69,A1,n,/kˈʌntɹi/,đất nước; nông thôn,Vietnam is a beautiful country.,FALSE,143,68.15,653
old,70,A1,adj,/ˈoʊld/,già; cũ,This is a very old building.,FALSE,144,68.11,647
school,71,A1,n,/skˈul/,trường học,The children walk to school.,TRUE,146,68.05,638
late,72,A1,adj,/lˈeɪt/,muộn; trễ,"Sorry, I am late again.",FALSE,147,68.05,638
high,73,A1,adj,/hˈaɪ/,cao,The mountain is very high.,FALSE,148,68.04,637
different,74,A1,adj,/dˈɪfɚənt/,khác; khác nhau,Our opinions are different.,FALSE,149,68.03,636
next,75,A1,adj,/nˈɛkst/,tiếp theo; kế bên,See you next week.,FALSE,151,67.92,620
end,76,A1,n,/ˈɛnd/,kết thúc; đầu mút,We are near the end of the book.,FALSE,152,67.92,619
live,77,A1,v,/lˈaɪv/,sống; ở,They live in a small town.,FALSE,153,67.84,608
why,78,A1,adv,/wˈaɪ/,tại sao,Why are you so happy today?,FALSE,154,67.83,607
world,79,A1,n,/wˈɝld/,thế giới,English is used all over the world.,FALSE,156,67.76,597
week,80,A1,n,/wˈik/,tuần,I work five days a week.,FALSE,157,67.75,596
play,81,A1,v,/plˈeɪ/,chơi; biểu diễn,The kids play football together.,FALSE,158,67.73,593
home,82,A1,n,/hˈoʊm/,nhà; quê hương,I stay at home on Sundays.,FALSE,161,67.67,585
never,83,A1,adv,/nˈɛvɚ/,không bao giờ,I never drink coffee at night.,FALSE,162,67.63,580
include,84,A1,v,/ˌɪnklˈud/,bao gồm,The price includes breakfast.,FALSE,163,67.6,575
course,85,A1,n,/kˈɔɹs/,khóa học; tiến trình,I am taking an English course.,FALSE,164,67.6,575
house,86,A1,n,/hˈaʊs/,ngôi nhà,They live in a big house.,TRUE,165,67.57,572
report,87,A1,n,/ɹipˈɔɹt/,báo cáo; bản tin,She wrote a report about sales.,FALSE,166,67.56,570
group,88,A1,n,/ɡɹˈup/,nhóm,We work in a small group.,FALSE,167,67.55,569
case,89,A1,n,/kˈeɪs/,trường hợp; vụ việc; hộp,"In that case, we should wait.",FALSE,168,67.55,569
woman,90,A1,n,/wˈʊmən/,người phụ nữ,The woman is a teacher.,FALSE,169,67.55,568
around,91,A1,prep,/ɚˈaʊnd/,xung quanh; khoảng,We walked around the lake.,FALSE,170,67.54,568
book,92,A1,n,/bˈʊk/,quyển sách,I am reading an interesting book.,TRUE,171,67.53,566
family,93,A1,n,/fˈæməli/,gia đình,My family lives in Hanoi.,FALSE,172,67.52,565
seem,94,A1,v,/sˈim/,có vẻ; dường như,You seem tired today.,FALSE,173,67.5,562
let,95,A1,v,/lˈɛt/,để cho; cho phép,Let me explain this to you.,FALSE,174,67.44,555
kind,96,A1,n,/kˈaɪnd/,loại; kiểu (adj: tử tế),What kind of music do you like?,FALSE,176,67.43,554
keep,97,A1,v,/kˈip/,giữ; tiếp tục,Please keep the door open.,FALSE,177,67.41,551
hear,98,A1,v,/hˈiɹ/,nghe; nghe thấy,I can hear the birds singing.,FALSE,178,67.37,546
system,99,A1,n,/sˈɪstəm/,hệ thống,The school uses a new system.,FALSE,179,67.36,545
question,100,A1,n,/kwˈɛstʃən/,câu hỏi; vấn đề,May I ask a question?,FALSE,181,67.34,542
always,101,A1,adv,/ˈɔlwˌeɪz/,luôn luôn,She is always on time.,FALSE,183,67.25,531
big,102,A1,adj,/bˈɪɡ/,"to, lớn",They live in a big city.,FALSE,184,67.22,527
set,103,A1,v,/sˈɛt/,đặt; thiết lập,Set the alarm for six.,FALSE,185,67.21,526
small,104,A1,adj,/smˈɔl/,"nhỏ, bé",This shirt is too small.,FALSE,186,67.2,525
study,105,A1,v,/stˈʌdi/,học; nghiên cứu,I study English every evening.,FALSE,187,67.19,524
follow,106,A1,v,/fˈɑloʊ/,theo; đi theo; tuân theo,"Follow me, please.",FALSE,188,67.17,521
begin,107,A1,v,/bɪɡˈɪn/,bắt đầu,The show begins at noon.,FALSE,189,67.14,518
important,108,A1,adj,/ˌɪmpˈɔɹtənt/,quan trọng,Health is very important.,FALSE,190,67.14,518
run,109,A1,v,/ɹˈʌn/,chạy; vận hành,He runs every morning.,FALSE,192,67.08,510
turn,110,A1,v,/tˈɝn/,quay; rẽ; đến lượt,Turn left at the corner.,FALSE,194,67.07,509
bring,111,A1,v,/bɹˈɪŋ/,mang đến; đem lại,Bring your umbrella tomorrow.,FALSE,196,67,502
early,112,A1,adj,/ˈɝli/,sớm,I woke up early today.,FALSE,197,66.98,499
hand,113,A1,n,/hˈænd/,bàn tay,Raise your hand to answer.,TRUE,198,66.97,497
state,114,A1,n,/stˈeɪt/,trạng thái; bang; nhà nước,The country has fifty states.,FALSE,199,66.94,494
move,115,A1,v,/mˈuv/,di chuyển; chuyển,We moved to a new house.,FALSE,200,66.93,493
money,116,A1,n,/mˈʌni/,tiền,I don't have enough money.,FALSE,201,66.92,492
fact,117,A1,n,/fˈækt/,sự thật; sự việc,That is an interesting fact.,FALSE,202,66.86,486
area,118,A1,n,/ˈɛɹiə/,khu vực; diện tích,This area is very quiet.,FALSE,204,66.78,477
provide,119,A1,v,/pɹəvˈaɪd/,cung cấp,The hotel provides free wifi.,FALSE,205,66.78,476
name,120,A1,n,/nˈeɪm/,tên,What is your full name?,FALSE,206,66.74,472
read,121,A1,v,/ɹˈɛd/,đọc,She reads before going to bed.,FALSE,207,66.73,471
friend,122,A1,n,/fɹˈɛnd/,"bạn, bạn bè",He is my best friend.,FALSE,208,66.7,468
month,123,A1,n,/mˈʌnθ/,tháng,February is a short month.,FALSE,209,66.7,468
large,124,A1,adj,/lˈɑɹdʒ/,"lớn, rộng",They ordered a large pizza.,FALSE,210,66.67,464
business,125,A1,n,/bˈɪznəs/,kinh doanh; công việc,She runs her own business.,FALSE,211,66.67,464
information,126,A1,n,/ˌɪnfɚmˈeɪʃən/,thông tin,I need more information about this.,FALSE,213,66.62,459
open,127,A1,v,/ˈoʊpən/,mở,Please open the window.,FALSE,214,66.61,459
order,128,A1,n,/ˈɔɹdɚ/,mệnh lệnh; đơn hàng; thứ tự,Your order will arrive tomorrow.,FALSE,215,66.59,456
government,129,A1,n,/ɡˈʌvɚmənt/,chính phủ,The government built a new road.,FALSE,216,66.58,455
word,130,A1,n,/wˈɝd/,từ; lời,I don't know this word.,FALSE,217,66.58,455
issue,131,A1,n,/ˈɪʃu/,vấn đề; số báo,We discussed an important issue.,FALSE,218,66.56,453
market,132,A1,n,/mˈɑɹkət/,chợ; thị trường,She buys fruit at the market.,TRUE,219,66.53,450
pay,133,A1,v,/pˈeɪ/,trả tiền; thanh toán,I will pay for lunch.,FALSE,220,66.51,447
build,134,A1,v,/bˈɪld/,xây dựng,They are building a new bridge.,FALSE,221,66.5,446
hold,135,A1,v,/hˈoʊld/,"cầm, giữ; tổ chức",Hold the baby carefully.,FALSE,222,66.45,442
service,136,A1,n,/sˈɝvəs/,dịch vụ; sự phục vụ,The restaurant has great service.,FALSE,223,66.44,440
believe,137,A1,v,/bɪlˈiv/,tin; tin tưởng,I believe you are right.,FALSE,225,66.38,435
second,138,A1,n,/sˈɛkənd/,giây; thứ hai,"Wait a second, please.",FALSE,226,66.36,433
love,139,A1,v,/lˈʌv/,yêu; rất thích,I love my family.,FALSE,229,66.3,427
increase,140,A1,v,/ˌɪnkɹˈis/,tăng; làm tăng,Prices increase every year.,FALSE,230,66.28,425
job,141,A1,n,/dʒˈɑb/,"công việc, nghề",She found a new job.,FALSE,231,66.28,425
